State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
NC,South,South Atlantic,Stanly County,37167,37167,Region 20,1/1/2015,7824.0,0.262,5.8,5.5,0.1,0.253,0.286,7.4,0.328,0.677,0.145,0.238,272.4,48.1,0.178,48.0,35.0,208.0,71.64,0.93,0.68,0.823,0.562,0.078,0.256,4.515,0.355,17.994,214.12,79.0,12.52,0.339,0.127,0.832,0.359,60635,0.013,0.677,0.117,137.0,400.9,9.4,51.4,0.158,0.025,17.55,18.97,0.218,0.074,9344.0,0.183,38.0,42801,0.44,4.9,
NC,South,South Atlantic,Stokes County,37169,37169,Region 20,1/1/2014,8566.0,0.183,3.8,5.3,0.09,0.361,0.256,7.811,0.259,0.552,0.22,0.611,230.7,33.8,0.17,17.0,13.0,23.0,72.27,0.85,0.59,0.81,0.489,0.089,0.251,,0.321,,341.33,81.3,12.82,0.449,0.106,0.847,0.437,46783,0.009,0.757,0.103,81.3,411.8,9.6,67.5,0.139,0.057,20.43,14.94,0.208,0.065,10323.0,0.165,45.0,42272,0.379,3.96,0.262
NC,South,South Atlantic,Stokes County,37169,37169,Region 20,1/1/2015,8181.0,0.183,3.8,5.3,0.1,0.361,0.314,7.3,0.284,0.747,0.22,0.676,222.3,31.5,0.178,17.0,13.0,34.0,79.96,0.88,0.59,0.86,0.527,0.073,0.207,4.657,0.296,8.55,354.27,82.6,12.82,0.0,0.118,0.855,0.424,46588,0.008,0.757,0.113,81.3,405.2,11.0,43.6,0.149,0.057,19.39,18.48,0.215,0.071,10006.0,0.165,47.0,44552,0.401,2.9,
NC,South,South Atlantic,Surry County,37171,37171,Region 20,1/1/2014,8779.0,0.238,4.4,3.5,0.08,0.275,0.307,7.612,0.265,0.406,,0.333,238.8,49.1,0.211,72.0,32.0,62.0,82.19,0.88,0.62,0.809,0.519,0.101,0.266,,0.306,,246.45,83.8,12.88,0.004,0.145,0.847,0.304,73561,0.03,0.688,0.126,85.9,428.3,8.2,72.2,0.161,0.034,18.78,17.61,0.259,0.089,10454.0,0.184,86.0,36934,0.461,5.48,0.199
NC,South,South Atlantic,Surry County,37171,37171,Region 20,1/1/2015,8092.0,0.238,4.4,3.5,0.08,0.275,0.313,7.3,0.306,0.573,,0.324,217.5,48.1,0.22,75.0,34.0,122.0,87.77,0.9,0.66,0.848,0.516,0.086,0.31,4.679,0.303,14.818,244.07,82.4,12.88,0.002,0.148,0.845,0.31,73050,0.031,0.688,0.137,85.9,415.3,8.6,51.3,0.159,0.034,17.33,19.08,0.27,0.091,10501.0,0.184,105.0,36221,0.485,5.3,
NC,South,South Atlantic,Swain County,37173,37173,Region 15,1/1/2014,13578.0,0.219,4.9,3.6,0.07,0.299,0.339,7.238,0.302,0.955,0.151,0.412,690.7,66.8,0.232,107.0,49.0,104.0,87.21,0.44,0.57,0.743,0.563,0.138,0.323,,0.306,,426.58,119.8,13.3,0.017,0.128,0.849,0.148,14141,0.013,1.0,0.152,99.4,581.3,,,0.183,0.027,27.08,32.29,0.279,0.114,8727.0,0.229,120.0,36280,0.436,15.62,0.237
NC,South,South Atlantic,Swain County,37173,37173,Region 15,1/1/2015,13560.0,0.219,4.9,3.6,0.07,0.299,0.33,6.9,0.289,0.924,0.151,0.333,530.4,65.0,0.242,99.0,57.0,156.0,78.12,0.49,0.57,0.809,0.618,0.114,0.349,5.116,0.355,13.436,323.72,122.9,13.3,0.017,0.132,0.869,0.151,14058,0.01,1.0,0.163,99.4,606.0,,,0.181,0.027,19.49,30.77,0.291,0.12,8444.0,0.229,128.0,34552,0.468,13.8,
NC,South,South Atlantic,Transylvania County,37175,37175,Region 15,1/1/2014,7252.0,0.107,3.0,3.2,0.08,0.227,0.237,8.075,0.226,0.833,,0.207,335.2,36.7,0.209,70.0,32.0,112.0,41.66,0.87,0.7,0.78,0.584,0.096,0.297,,0.351,,179.52,84.6,13.12,0.009,0.116,0.806,0.321,32849,0.007,0.596,0.098,93.8,308.3,,72.4,0.139,0.031,15.67,18.81,0.25,0.085,7499.0,0.163,27.0,40642,0.444,,0.171
NC,South,South Atlantic,Transylvania County,37175,37175,Region 15,1/1/2015,6363.0,0.107,3.0,3.2,0.08,0.227,0.241,7.6,0.212,0.816,,0.138,286.2,36.3,0.209,70.0,33.0,170.0,37.7,0.89,0.69,0.82,0.626,0.081,0.297,4.052,0.315,20.092,168.43,85.9,13.12,0.012,0.118,0.815,0.341,32903,0.009,0.596,0.103,93.8,284.7,,60.7,0.148,0.031,15.37,20.64,0.248,0.089,7387.0,0.163,27.0,40578,0.485,,
NC,South,South Atlantic,Tyrrell County,37177,37177,Region 1,1/1/2014,9791.0,,,,0.13,,0.313,6.757,0.299,0.519,,0.143,572.9,56.4,0.248,,,40.0,68.65,0.84,0.7,,0.369,0.097,0.397,,0.566,,146.62,,11.41,0.0,0.162,0.711,0.435,4338,0.032,1.0,0.131,202.6,472.2,,,0.191,0.058,,,0.293,0.121,7338.0,,,30728,0.616,,
NC,South,South Atlantic,Tyrrell County,37177,37177,Region 1,1/1/2015,10757.0,,,,0.13,,0.314,6.3,0.273,0.519,,0.25,322.7,51.9,0.246,,,73.0,79.13,0.86,0.76,,0.336,0.089,0.389,3.969,0.446,11.526,112.98,105.4,11.41,0.0,0.174,0.723,0.385,4109,0.029,1.0,0.133,202.6,471.7,,,0.192,0.058,49.08,,0.296,0.112,8344.0,,,32642,0.598,,
NC,South,South Atlantic,Union County,37179,37179,Region 20,1/1/2014,5752.0,0.156,3.0,2.9,0.08,0.164,0.274,8.314,0.212,0.379,0.14,0.364,252.6,34.2,0.172,57.0,24.0,86.0,55.7,0.9,0.65,0.891,0.658,0.082,0.156,,0.202,,165.8,48.4,12.49,0.0,0.131,0.81,0.464,208520,0.03,0.273,0.087,110.4,302.4,6.7,41.0,0.125,0.035,14.73,7.05,0.219,0.08,9304.0,0.149,32.0,61260,0.272,4.83,0.157
NC,South,South Atlantic,Union County,37179,37179,Region 20,1/1/2015,5213.0,0.156,3.0,2.9,0.08,0.164,0.268,8.1,0.194,0.684,0.14,0.321,247.9,30.9,0.166,59.0,24.0,111.0,53.87,0.89,0.65,0.902,0.666,0.069,0.144,3.961,0.219,8.249,183.86,44.4,12.49,0.0,0.133,0.81,0.469,212756,0.03,0.273,0.085,110.4,285.1,7.0,38.5,0.124,0.035,13.04,6.15,0.206,0.09,9099.0,0.149,36.0,63912,0.28,4.5,
NC,South,South Atlantic,Vance County,37181,37181,Region 20,1/1/2014,10953.0,0.27,5.2,3.1,0.12,0.275,0.33,5.403,0.316,0.715,0.077,0.439,1079.3,76.7,0.189,51.0,41.0,137.0,62.85,0.87,0.69,0.68,0.431,0.132,0.397,,0.574,,596.2,84.5,12.24,0.005,0.2,0.845,0.311,45132,0.01,0.541,0.144,434.3,506.0,14.3,91.6,0.265,0.047,18.21,14.37,0.239,0.068,8242.0,0.172,84.0,34371,0.699,15.01,0.328
NC,South,South Atlantic,Vance County,37181,37181,Region 20,1/1/2015,11130.0,0.27,5.2,3.1,0.12,0.275,0.354,5.2,0.319,0.734,0.077,0.458,1085.7,71.5,0.199,44.0,42.0,212.0,61.21,0.87,0.68,0.68,0.439,0.11,0.403,5.18,0.577,15.067,555.49,85.8,12.24,0.005,0.215,0.846,0.296,44808,0.01,0.541,0.141,434.3,489.9,12.5,58.9,0.249,0.047,18.71,14.91,0.25,0.077,8415.0,0.172,89.0,35565,0.699,18.9,
NC,South,South Atlantic,Wake County,37183,37183,Region 20,1/1/2014,4954.0,0.111,2.8,2.6,0.08,0.129,0.248,7.742,0.186,0.857,0.15,0.358,533.6,26.2,0.154,80.0,62.0,177.0,46.5,0.9,0.7,0.814,0.776,0.075,0.154,,0.275,,273.93,38.4,12.15,0.002,0.144,0.802,0.307,952151,0.031,0.061,0.07,364.0,257.9,6.6,55.0,0.15,0.042,10.25,6.66,0.185,0.082,8748.0,0.133,69.0,64107,0.279,3.63,0.181
NC,South,South Atlantic,Wake County,37183,37183,Region 20,1/1/2015,4775.0,0.111,2.8,2.6,0.08,0.129,0.253,7.5,0.181,0.907,0.15,0.363,489.3,24.5,0.151,81.0,65.0,267.0,43.7,0.9,0.71,0.815,0.776,0.062,0.145,4.253,0.283,9.809,260.94,36.0,12.15,0.015,0.143,0.801,0.309,974289,0.031,0.061,0.073,364.0,243.9,6.8,52.1,0.149,0.042,9.06,6.54,0.182,0.077,8816.0,0.133,78.0,65433,0.29,3.0,
NC,South,South Atlantic,Warren County,37185,37185,Insuff Data,1/1/2014,8576.0,0.191,,3.9,0.15,0.225,0.348,5.685,0.312,0.169,,0.429,565.6,52.8,0.211,14.0,18.0,14.0,56.77,0.87,0.7,0.8,0.435,0.123,0.355,,0.448,,247.09,72.1,12.16,0.374,0.178,0.826,0.433,20576,0.012,1.0,0.16,226.7,408.9,13.7,73.8,0.252,0.045,33.75,,0.252,0.098,7710.0,,15.0,33068,0.692,10.33,
NC,South,South Atlantic,Warren County,37185,37185,Insuff Data,1/1/2015,7925.0,0.191,,3.9,0.14,0.225,0.363,5.5,0.3,0.442,,0.421,534.6,52.1,0.218,15.0,19.0,63.0,69.22,0.88,0.75,0.825,0.469,0.106,0.398,5.088,0.497,13.608,231.04,61.4,12.16,0.364,0.174,0.843,0.438,20575,0.013,1.0,0.153,226.7,370.5,,65.3,0.235,0.045,23.36,,0.263,0.09,7925.0,,15.0,33767,0.728,12.0,
NC,South,South Atlantic,Washington County,37187,37187,Region 1,1/1/2014,7919.0,0.175,4.7,2.7,0.12,,0.33,5.238,0.304,0.323,,0.083,639.8,60.9,0.157,39.0,31.0,116.0,95.01,0.89,0.61,0.825,0.56,0.122,0.43,,0.561,,923.41,40.7,11.48,0.0,0.231,0.793,0.322,12736,0.013,0.678,0.142,415.5,402.6,,79.2,0.247,0.097,17.19,,0.195,0.057,8741.0,,31.0,32545,0.718,,
NC,South,South Atlantic,Washington County,37187,37187,Region 1,1/1/2015,7107.0,0.175,4.7,2.7,0.11,,0.338,5.1,0.294,0.627,,0.083,659.5,55.9,0.173,39.0,24.0,141.0,89.48,0.91,0.61,0.825,0.497,0.098,0.403,5.782,0.533,21.985,328.19,41.2,11.48,0.027,0.223,0.804,0.31,12722,0.01,0.678,0.146,415.5,372.4,,,0.232,0.097,15.22,,0.215,0.064,8894.0,,31.0,31596,0.729,,
NC,South,South Atlantic,Watauga County,37189,37189,Region 20,1/1/2014,5173.0,0.131,3.8,3.2,0.06,0.164,0.275,7.157,0.219,0.94,0.146,0.231,179.2,9.9,0.199,82.0,50.0,231.0,64.24,0.9,0.72,0.87,0.712,0.083,0.222,,0.263,,110.09,60.7,12.98,0.001,0.27,0.753,0.185,51871,0.01,0.554,0.092,62.3,261.4,9.2,60.4,0.184,0.033,11.16,10.28,0.225,0.084,9357.0,0.168,62.0,38563,0.275,,0.16
NC,South,South Atlantic,Watauga County,37189,37189,Region 20,1/1/2015,5006.0,0.131,3.8,3.2,0.06,0.164,0.253,6.7,0.217,0.965,0.146,0.292,181.2,10.1,0.206,64.0,61.0,399.0,51.87,0.92,0.71,0.84,0.724,0.072,0.213,7.805,0.278,14.652,117.16,61.1,12.98,0.001,0.254,0.732,0.187,52372,0.01,0.554,0.097,62.3,269.2,8.4,38.9,0.19,0.033,9.38,12.51,0.234,0.079,9055.0,0.168,67.0,38380,0.305,2.9,
NC,South,South Atlantic,Wayne County,37191,37191,Region 20,1/1/2014,9197.0,0.18,4.0,3.5,0.09,0.236,0.341,6.413,0.31,0.261,0.099,0.362,727.6,56.5,0.2,52.0,41.0,131.0,63.88,0.88,0.7,0.75,0.585,0.089,0.351,,0.418,,463.18,70.5,11.93,0.0,0.146,0.82,0.224,124246,0.039,0.464,0.123,388.0,447.9,9.1,80.0,0.196,0.082,19.43,8.16,0.251,0.076,9037.0,0.169,70.0,38776,0.52,10.56,0.245
NC,South,South Atlantic,Wayne County,37191,37191,Region 20,1/1/2015,8763.0,0.18,4.0,3.5,0.08,0.236,0.321,6.0,0.278,0.485,0.099,0.359,660.0,54.1,0.201,53.0,42.0,189.0,57.35,0.88,0.71,0.8,0.584,0.08,0.321,4.675,0.439,12.556,454.41,66.4,11.93,0.03,0.152,0.822,0.223,124583,0.04,0.464,0.121,388.0,441.9,9.3,84.6,0.196,0.082,17.8,9.08,0.253,0.076,9059.0,0.169,76.0,41526,0.535,10.8,
NC,South,South Atlantic,Wilkes County,37193,37193,Region 20,1/1/2014,9057.0,0.203,4.8,4.4,0.09,0.28,0.293,7.068,0.319,0.572,0.086,0.364,200.0,50.6,0.205,43.0,30.0,100.0,84.24,0.89,0.74,0.81,0.494,0.108,0.283,,0.288,,244.65,102.8,12.91,0.0,0.149,0.829,0.25,69306,0.013,0.728,0.13,75.0,424.2,7.4,60.5,0.177,0.055,22.24,28.89,0.254,0.071,9842.0,0.181,46.0,35362,0.523,4.78,0.206
NC,South,South Atlantic,Wilkes County,37193,37193,Region 20,1/1/2015,8673.0,0.203,4.8,4.4,0.08,0.28,0.293,6.8,0.327,0.554,0.086,0.323,230.9,50.1,0.216,40.0,32.0,155.0,77.99,0.9,0.73,0.87,0.491,0.093,0.315,4.72,0.291,14.573,239.45,88.1,12.91,0.0,0.159,0.826,0.254,69023,0.016,0.728,0.123,75.0,406.2,7.1,61.8,0.173,0.055,21.09,29.98,0.266,0.079,10085.0,0.181,52.0,35895,0.533,5.2,
NC,South,South Atlantic,Wilson County,37195,37195,Region 20,1/1/2014,8490.0,0.159,3.3,3.1,0.1,0.121,0.349,6.174,0.305,0.618,,0.368,665.4,60.3,0.199,41.0,34.0,74.0,65.62,0.9,0.68,0.69,0.521,0.125,0.367,,0.435,,422.86,71.9,11.92,0.005,0.196,0.822,0.191,81867,0.037,0.387,0.138,460.1,440.8,12.2,65.0,0.236,0.028,23.25,6.0,0.248,0.081,9251.0,0.107,72.0,37440,0.579,11.26,0.223
NC,South,South Atlantic,Wilson County,37195,37195,Region 20,1/1/2015,8028.0,0.159,3.3,3.1,0.1,0.121,0.373,5.9,0.302,0.541,,0.439,651.1,57.3,0.209,43.0,36.0,119.0,64.17,0.91,0.68,0.73,0.515,0.112,0.337,4.727,0.433,11.238,420.88,66.9,11.92,0.019,0.199,0.823,0.197,81667,0.035,0.387,0.13,460.1,423.3,11.4,61.4,0.226,0.028,19.08,7.31,0.262,0.079,9450.0,0.107,77.0,40772,0.556,9.6,
NC,South,South Atlantic,Yadkin County,37197,37197,Region 20,1/1/2014,7893.0,0.207,4.1,4.6,0.1,0.255,0.297,8.296,0.281,0.279,,0.395,188.1,48.8,0.209,29.0,18.0,39.0,87.64,0.91,0.64,0.83,0.474,0.089,0.312,,0.243,,249.99,86.0,12.83,0.025,0.101,0.854,0.383,38084,0.024,0.847,0.099,79.4,394.5,9.5,69.0,0.142,0.004,21.84,18.45,0.252,0.097,10084.0,0.158,32.0,40012,0.422,3.76,0.241
NC,South,South Atlantic,Yadkin County,37197,37197,Region 20,1/1/2015,7258.0,0.207,4.1,4.6,0.1,0.255,0.301,8.0,0.282,0.553,,0.395,168.0,46.8,0.201,29.0,18.0,60.0,84.9,0.9,0.64,0.82,0.492,0.071,0.271,4.622,0.273,14.704,289.8,83.6,12.83,0.021,0.123,0.831,0.423,38038,0.02,0.847,0.097,79.4,373.8,9.7,53.9,0.145,0.004,19.09,20.21,0.242,0.094,10998.0,0.158,32.0,40998,0.455,,
NC,South,South Atlantic,Yancey County,37199,37199,Region 15,1/1/2014,6872.0,0.193,5.5,4.1,0.08,0.214,0.287,8.001,0.306,1.0,0.062,0.214,152.5,40.2,0.228,73.0,28.0,67.0,69.46,0.88,0.66,0.775,0.51,0.111,0.31,,0.178,,110.14,92.7,13.08,0.0,0.119,0.773,0.376,17630,0.016,1.0,0.109,62.6,345.6,,,0.159,0.0,16.79,20.79,0.268,0.11,7707.0,0.158,79.0,36019,0.477,,0.176
NC,South,South Atlantic,Yancey County,37199,37199,Region 15,1/1/2015,8917.0,0.193,5.5,4.1,0.08,0.214,0.271,7.7,0.26,1.0,0.062,0.143,113.4,41.7,0.206,74.0,28.0,165.0,61.66,0.9,0.64,0.82,0.522,0.098,0.308,4.485,0.228,11.344,98.63,90.9,13.08,0.0,0.142,0.777,0.385,17566,0.014,1.0,0.116,62.6,396.3,,70.7,0.16,0.0,12.01,28.02,0.246,0.091,7870.0,0.158,74.0,35866,0.469,,
