State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
NC,South,South Atlantic,Northampton County,37131,37131,Insuff Data,1/1/2015,10052.0,0.246,4.1,3.6,0.14,0.215,0.356,5.7,0.344,0.249,,0.214,648.7,53.4,0.173,9.0,14.0,48.0,81.95,0.9,0.68,0.776,0.415,0.096,0.421,5.322,0.685,16.334,262.44,89.3,11.96,0.05,0.153,0.842,0.324,20839,0.005,0.894,0.151,382.1,460.9,,83.4,0.237,0.027,29.83,,0.21,0.068,9909.0,0.226,24.0,31732,0.715,12.3,
NC,South,South Atlantic,Onslow County,37133,37133,Region 20,1/1/2014,7303.0,0.166,4.2,3.8,0.08,0.248,0.278,6.667,0.236,0.343,0.175,0.452,665.5,69.2,0.152,33.0,80.0,111.0,69.85,0.83,0.66,0.82,0.677,0.087,0.204,,0.3,,282.56,57.2,11.79,0.064,0.137,0.703,0.349,183263,0.014,0.263,0.086,153.9,381.6,8.2,89.7,0.169,0.11,18.79,9.31,0.193,0.06,9139.0,0.127,76.0,44263,0.314,4.83,0.166
NC,South,South Atlantic,Onslow County,37133,37133,Region 20,1/1/2015,7122.0,0.166,4.2,3.8,0.07,0.248,0.275,6.3,0.239,0.591,0.175,0.408,814.7,67.9,0.169,33.0,89.0,184.0,69.38,0.84,0.67,0.87,0.671,0.076,0.232,3.535,0.292,6.984,243.65,54.1,11.79,0.286,0.156,0.724,0.358,185220,0.008,0.263,0.084,153.9,374.7,7.1,79.8,0.171,0.11,15.57,10.93,0.211,0.07,9651.0,0.127,75.0,45213,0.319,4.8,
NC,South,South Atlantic,Orange County,37135,37135,Region 20,1/1/2014,5063.0,0.128,2.8,3.1,0.08,0.116,0.208,6.924,0.16,0.794,0.155,0.219,405.1,11.0,0.164,198.0,170.0,486.0,33.82,0.92,0.74,0.845,0.775,0.062,0.153,,0.265,,180.74,44.8,12.36,0.0,0.197,0.676,0.291,137941,0.037,0.285,0.067,247.5,269.9,8.0,53.1,0.154,0.114,10.92,8.44,0.19,0.09,7147.0,0.135,180.0,53026,0.252,4.05,0.161
NC,South,South Atlantic,Orange County,37135,37135,Region 20,1/1/2015,4569.0,0.128,2.8,3.1,0.08,0.116,0.213,6.6,0.158,0.857,0.155,0.29,330.6,10.3,0.147,180.0,185.0,596.0,29.12,0.92,0.74,0.867,0.789,0.053,0.134,6.372,0.255,11.164,162.89,43.0,12.36,0.0,0.199,0.681,0.288,140352,0.037,0.285,0.073,247.5,245.6,7.2,35.9,0.156,0.114,10.21,9.01,0.172,0.073,7147.0,0.135,181.0,59472,0.263,2.6,
NC,South,South Atlantic,Pamlico County,37137,37137,Region 20,1/1/2014,9428.0,,2.1,,0.09,,0.302,7.899,0.287,0.301,,0.25,287.9,52.0,0.187,38.0,29.0,44.0,38.7,0.92,0.76,0.825,0.52,0.097,0.318,,0.292,,205.5,113.2,11.62,0.0,0.156,0.778,0.351,13074,0.006,1.0,0.134,204.7,400.6,,,0.152,0.023,31.79,10.96,0.215,0.104,8082.0,,38.0,41004,0.514,,0.083
NC,South,South Atlantic,Pamlico County,37137,37137,Region 20,1/1/2015,7279.0,,2.1,,0.09,,0.304,7.5,0.273,0.315,,0.154,260.1,49.5,0.193,38.0,31.0,54.0,34.19,0.92,0.79,0.875,0.543,0.089,0.351,4.372,0.367,9.179,186.01,103.6,11.62,0.473,0.166,0.792,0.416,12953,0.006,1.0,0.144,204.7,338.8,,,0.157,0.023,27.28,,0.224,0.101,9062.0,,39.0,43517,0.533,,
NC,South,South Atlantic,Pasquotank County,37139,37139,Region 1,1/1/2014,8052.0,0.205,3.2,3.3,0.1,0.348,0.326,6.04,0.293,0.737,0.152,0.25,641.3,42.4,0.176,54.0,35.0,115.0,55.03,0.86,0.74,0.77,0.6,0.106,0.284,,0.345,,405.49,58.8,11.58,0.0,0.193,0.791,0.274,40591,0.018,0.413,0.124,281.5,407.3,8.8,88.1,0.21,0.091,12.0,10.18,0.217,0.072,8307.0,0.147,89.0,43935,0.474,6.18,0.146
NC,South,South Atlantic,Pasquotank County,37139,37139,Region 1,1/1/2015,7662.0,0.205,3.2,3.3,0.1,0.348,0.345,5.7,0.282,0.686,0.152,0.227,773.6,37.4,0.185,71.0,40.0,193.0,44.06,0.83,0.77,0.84,0.618,0.101,0.339,5.023,0.363,14.535,371.92,58.1,11.58,0.0,0.216,0.793,0.289,39981,0.013,0.413,0.141,281.5,392.1,9.4,65.6,0.204,0.091,12.05,10.28,0.23,0.07,8382.0,0.147,110.0,40094,0.513,5.1,
NC,South,South Atlantic,Pender County,37141,37141,Region 20,1/1/2014,8143.0,0.152,3.0,2.7,0.08,0.281,0.292,7.376,0.266,0.476,0.175,0.309,307.1,40.6,0.199,32.0,31.0,56.0,59.29,0.88,0.71,0.82,0.586,0.108,0.27,,0.408,,318.37,76.9,11.87,0.167,0.156,0.794,0.418,54195,0.017,0.688,0.116,135.3,375.9,5.5,83.4,0.173,0.033,25.83,11.15,0.243,0.087,9748.0,0.171,41.0,43318,0.467,3.82,0.168
